## [iView]
## Converted from:	C:\Dokumente und Einstellungen\iViewX\Desktop\Praktikum_Output\Jasper.idf
## Date:	25.02.2005 14:09:04
## Version:	IDF Converter 2.01 build 30
## Sample Rate:	50
## [Trial]
## User:	
## Trial:	
## [Calibration]
## Calibration Type:	5-point
## Calibration Area:	768	576
## [Geometry]
## Stimulus Dimension [mm]:	300	200
## Head Distance [mm]:	500
## [Hardware Setup]
## [Presentation]
## Number of Samples:	n.a.
## Reversed:	none
## Format:	LEFT, DIAMETER
## 
Time	Type	Set	L Dia X [px]	L Dia Y [px]
4196526399	SMP	1	65.71	63.52
4196546420	SMP	1	66.56	64.43
4196566381	SMP	1	66.46	64.53
4196586400	SMP	1	66.45	63.43
4196606360	SMP	1	65.74	63.44
4196626382	SMP	1	65.72	64.52
4196646338	SMP	1	65.65	64.56
4196666360	SMP	1	65.85	63.63
4196686320	SMP	1	66.25	64.52
4196706341	SMP	1	65.77	63.77
4196726300	SMP	1	66.84	63.46
4196746321	SMP	1	65.67	64.42
4196766281	SMP	1	66.56	63.45
4196786303	SMP	1	66.63	65.38
4196806262	SMP	1	65.84	65.38
4196826286	SMP	1	65.83	65.11
4196846241	SMP	1	66.48	64.32
4196866264	SMP	1	66.47	66.26
4196886222	SMP	1	65.53	66.11
4196906245	SMP	1	65.52	64.60
4196926202	SMP	1	66.47	64.41
4196946225	SMP	1	67.14	65.01
4196966183	SMP	1	66.34	63.39
4196986205	SMP	1	65.32	64.49
4197006164	SMP	1	65.44	64.36
4197026185	SMP	1	65.29	63.61
4197046140	SMP	1	66.32	60.45
4197066166	SMP	1	0.00	0.00
4197086124	SMP	1	0.00	0.00
4197106155	SMP	1	0.00	0.00
4197126104	SMP	1	0.00	0.00
4197146128	SMP	1	0.00	0.00
4197166086	SMP	1	0.00	0.00
4197186108	SMP	1	0.00	0.00
4197206065	SMP	1	0.00	0.00
4197226087	SMP	1	0.00	0.00
4197246046	SMP	1	61.59	52.44
4197266068	SMP	1	64.65	60.30
4197286026	SMP	1	64.75	60.59
4197306049	SMP	1	64.87	62.22
4197326006	SMP	1	64.71	64.17
4197346029	SMP	1	64.61	64.25
4197365986	SMP	1	65.56	64.50
4197386009	SMP	1	66.23	64.35
4197405975	SMP	1	65.41	63.44
4197425989	SMP	1	65.55	65.37
4197445949	SMP	1	67.29	65.36
4197465968	SMP	1	66.01	62.92
4197485931	SMP	1	65.85	64.31
4197505950	SMP	1	65.53	63.61
4197525910	SMP	1	66.25	63.84
4197545935	SMP	1	65.54	63.35
4197565888	SMP	1	65.69	65.33
4197585911	SMP	1	66.42	65.49
4197605870	SMP	1	66.54	63.51
4197625895	SMP	1	65.40	64.58
4197645849	SMP	1	67.53	64.49
4197665872	SMP	1	66.40	64.35
4197685830	SMP	1	66.62	64.15
4197705852	SMP	1	66.00	64.72
4197725810	SMP	1	66.83	64.07
4197745833	SMP	1	66.39	64.36
4197765791	SMP	1	66.52	64.03
4197785822	SMP	1	64.76	64.25
4197805776	SMP	1	65.70	63.65
4197825796	SMP	1	65.60	63.51
4197845751	SMP	1	65.54	64.57
4197865778	SMP	1	66.38	65.22
4197885738	SMP	1	65.67	64.44
4197905754	SMP	1	65.44	64.47
4197925711	SMP	1	66.52	64.46
4197945735	SMP	1	66.43	64.40
4197965693	SMP	1	65.74	65.26
4197985714	SMP	1	65.15	64.53
4198005673	SMP	1	65.03	63.65
4198025699	SMP	1	65.62	65.43
4198045657	SMP	1	66.19	63.62
4198065677	SMP	1	66.05	65.05
4198085641	SMP	1	65.47	63.42
4198105657	SMP	1	64.90	65.20
4198125615	SMP	1	66.10	64.33
4198145637	SMP	1	67.62	63.59
4198165595	SMP	1	65.81	65.22
4198185617	SMP	1	67.10	64.37
4198205576	SMP	1	65.25	64.18
4198225598	SMP	1	65.83	64.31
4198245556	SMP	1	66.08	64.37
4198265578	SMP	1	66.55	63.38
4198285536	SMP	1	66.71	65.27
4198305559	SMP	1	65.46	63.53
4198325517	SMP	1	66.72	64.39
4198345540	SMP	1	65.92	65.17
4198365497	SMP	1	64.91	64.18
4198385521	SMP	1	65.53	65.99
4198405478	SMP	1	66.30	65.21
4198425498	SMP	1	66.82	63.44
4198445459	SMP	1	65.65	64.55
4198465483	SMP	1	67.41	64.32
4198485437	SMP	1	66.58	64.50
4198505462	SMP	1	66.87	64.40
4198525420	SMP	1	65.91	65.49
4198545443	SMP	1	66.90	65.09
4198565401	SMP	1	67.45	64.20
4198585424	SMP	1	67.25	64.70
4198605379	SMP	1	66.50	63.40
4198625405	SMP	1	65.54	65.27
4198645360	SMP	1	66.80	64.48
4198665384	SMP	1	66.42	64.49
4198685341	SMP	1	65.73	65.30
4198705363	SMP	1	66.22	63.40
4198725320	SMP	1	66.38	64.52
4198745344	SMP	1	66.50	63.52
4198765309	SMP	1	65.76	63.77
4198785324	SMP	1	66.53	64.45
4198805281	SMP	1	64.80	63.73
4198825305	SMP	1	66.73	63.76
4198845263	SMP	1	67.30	64.41
4198865285	SMP	1	66.38	64.35
4198885244	SMP	1	65.48	63.35
4198905432	SMP	1	66.79	63.69
4198925222	SMP	1	64.52	64.18
4198945246	SMP	1	66.23	64.48
4198965203	SMP	1	65.94	64.29
4198985224	SMP	1	64.97	64.75
4199005183	SMP	1	67.41	64.31
4199025454	SMP	1	65.93	64.41
4199045162	SMP	1	65.32	63.69
4199065185	SMP	1	66.83	62.60
4199085144	SMP	1	65.75	64.63
4199105261	SMP	1	66.47	65.21
4199125124	SMP	1	66.02	64.30
4199145165	SMP	1	64.71	65.23
4199165128	SMP	1	65.56	65.33
4199185158	SMP	1	65.70	65.40
4199205120	SMP	1	65.67	65.29
4199225140	SMP	1	65.86	64.30
4199245099	SMP	1	64.48	64.30
4199265150	SMP	1	65.54	64.46
4199285139	SMP	1	66.71	64.46
4199305182	SMP	1	64.61	64.35
4199325128	SMP	1	66.61	65.35
4199345185	SMP	1	66.36	64.18
4199365146	SMP	1	65.85	65.57
4199385193	SMP	1	65.92	65.04
4199405149	SMP	1	65.81	65.11
4199425043	SMP	1	66.47	64.16
4199445131	SMP	1	67.54	63.60
4199465168	SMP	1	65.45	65.32
4199485125	SMP	1	65.80	65.17
4199505241	SMP	1	66.61	65.26
4199525158	SMP	1	66.40	64.58
4199544961	SMP	1	67.52	64.35
4199565156	SMP	1	66.33	64.42
4199584968	SMP	1	66.93	64.25
4199605165	SMP	1	66.35	63.63
4199624981	SMP	1	66.26	63.65
4199645159	SMP	1	65.63	65.14
4199664972	SMP	1	66.53	64.63
4199684996	SMP	1	68.08	65.16
4199704956	SMP	1	65.90	63.58
4199724855	SMP	1	65.57	64.18
4199744958	SMP	1	66.61	64.39
4199764889	SMP	1	65.94	64.48
4199784985	SMP	1	66.43	64.28
4199805207	SMP	1	65.91	63.38
4199824991	SMP	1	66.43	64.49
4199844878	SMP	1	66.41	64.33
4199864984	SMP	1	66.53	64.45
4199884896	SMP	1	65.75	64.38
4199904994	SMP	1	66.37	64.45
4199924915	SMP	1	66.26	64.31
4199944983	SMP	1	65.91	64.50
4199964901	SMP	1	66.90	64.58
4199984996	SMP	1	65.85	64.48
4200005049	SMP	1	66.02	64.71
4200025289	SMP	1	67.33	64.37
4200044914	SMP	1	66.04	64.42
4200065002	SMP	1	66.82	64.78
4200084914	SMP	1	67.40	65.17
4200105266	SMP	1	65.96	64.23
4200124903	SMP	1	67.39	65.16
4200145010	SMP	1	65.76	64.46
4200164927	SMP	1	66.62	64.22
4200185011	SMP	1	66.97	65.15
4200204930	SMP	1	66.08	64.41
4200225019	SMP	1	65.36	62.36
4200244941	SMP	1	66.51	64.45
4200265028	SMP	1	66.48	65.11
4200285072	SMP	1	65.68	65.17
4200305020	SMP	1	67.60	64.65
4200324923	SMP	1	66.10	63.33
4200344557	SMP	1	67.36	65.42
4200364526	SMP	1	66.78	65.43
4200384561	SMP	1	65.66	64.26
4200404533	SMP	1	65.89	65.33
4200424539	SMP	1	66.85	63.36
4200444503	SMP	1	66.47	65.27
4200464539	SMP	1	66.47	64.53
4200484511	SMP	1	67.63	63.57
4200504542	SMP	1	66.52	64.67
4200524497	SMP	1	66.73	64.32
4200544518	SMP	1	66.20	63.68
4200564419	SMP	1	66.10	64.37
4200584439	SMP	1	66.16	65.72
4200604396	SMP	1	66.53	64.10
4200624422	SMP	1	67.25	64.38
4200644381	SMP	1	65.88	64.59
4200664402	SMP	1	67.37	63.39
4200684358	SMP	1	67.45	64.69
4200704382	SMP	1	66.41	64.65
4200724341	SMP	1	66.97	64.51
4200744362	SMP	1	66.71	63.45
4200764329	SMP	1	66.45	63.60
4200784339	SMP	1	66.61	65.15
4200804303	SMP	1	66.33	65.09
4200824321	SMP	1	66.48	63.59
4200844281	SMP	1	66.39	64.48
4200864303	SMP	1	67.54	64.55
4200884261	SMP	1	67.49	63.66
4200904283	SMP	1	65.68	64.43
4200924243	SMP	1	66.25	64.46
4200944262	SMP	1	67.75	64.39
4200964222	SMP	1	66.62	64.58
4200984241	SMP	1	66.63	64.36
4201004203	SMP	1	66.76	64.41
4201024224	SMP	1	67.49	64.50
4201044184	SMP	1	65.83	64.33
4201064205	SMP	1	66.46	64.48
4201084164	SMP	1	66.99	64.49
4201104191	SMP	1	65.63	65.25
4201124145	SMP	1	67.65	63.72
4201144167	SMP	1	66.33	64.49
4201164126	SMP	1	66.30	64.64
4201184145	SMP	1	66.93	63.41
4201204107	SMP	1	65.90	64.31
4201224127	SMP	1	67.65	64.31
4201244084	SMP	1	66.55	64.36
4201264105	SMP	1	66.76	65.30
4201284065	SMP	1	67.43	64.38
4201304087	SMP	1	65.41	64.47
4201324043	SMP	1	66.75	64.37
4201344068	SMP	1	66.57	60.62
4201364028	SMP	1	0.00	0.00
4201384047	SMP	1	0.00	0.00
4201404008	SMP	1	0.00	0.00
4201424029	SMP	1	0.00	0.00
4201443987	SMP	1	0.00	0.00
4201464006	SMP	1	62.37	43.50
4201483968	SMP	1	63.22	53.33
4201503990	SMP	1	64.79	60.28
4201523947	SMP	1	64.59	63.00
4201543966	SMP	1	64.90	62.50
4201563928	SMP	1	66.00	63.60
4201583947	SMP	1	65.60	63.50
4201603903	SMP	1	66.17	63.47
4201623925	SMP	1	65.69	63.77
4201643889	SMP	1	65.12	63.37
4201663910	SMP	1	67.20	64.65
4201683868	SMP	1	64.69	64.27
4201703892	SMP	1	66.18	65.12
4201723850	SMP	1	66.59	63.22
4201743866	SMP	1	64.56	64.99
4201763832	SMP	1	65.23	63.63
4201783859	SMP	1	65.43	64.21
4201803809	SMP	1	65.60	64.64
4201823833	SMP	1	65.59	64.28
4201843789	SMP	1	66.40	63.43
4201863814	SMP	1	65.64	64.54
4201883772	SMP	1	65.72	63.58
4201903792	SMP	1	65.61	64.44
4201923750	SMP	1	66.00	64.43
4201943775	SMP	1	66.33	62.41
4201963730	SMP	1	65.75	63.64
4201983755	SMP	1	65.52	64.24
4202003714	SMP	1	66.23	64.23
4202023733	SMP	1	66.79	64.35
4202043689	SMP	1	65.59	63.52
4202063715	SMP	1	66.26	63.53
4202083677	SMP	1	65.51	64.41
4202103690	SMP	1	65.68	63.26
4202123652	SMP	1	66.41	64.22
4202143674	SMP	1	64.72	64.26
4202163636	SMP	1	65.65	63.52
4202183654	SMP	1	64.75	63.31
4202203616	SMP	1	66.45	63.39
4202223635	SMP	1	66.24	64.48
4202243594	SMP	1	65.79	63.45
4202263619	SMP	1	66.38	63.17
4202283577	SMP	1	66.77	64.35
4202303596	SMP	1	65.34	63.72
4202323555	SMP	1	66.62	64.34
4202343579	SMP	1	64.81	63.44
4202363535	SMP	1	67.36	64.45
4202383552	SMP	1	66.48	64.38
4202403514	SMP	1	64.97	64.24
4202423535	SMP	1	67.49	64.51
4202443495	SMP	1	66.10	64.27
4202463516	SMP	1	66.69	63.77
4202483476	SMP	1	65.03	64.65
4202503497	SMP	1	66.84	64.55
4202523457	SMP	1	65.11	64.47
4202543481	SMP	1	66.43	64.21
4202563436	SMP	1	67.07	64.55
4202583457	SMP	1	65.66	62.39
4202603417	SMP	1	67.24	64.60
4202623439	SMP	1	65.45	65.07
4202643400	SMP	1	66.02	63.49
4202663421	SMP	1	66.49	64.36
4202683376	SMP	1	65.87	65.24
4202703400	SMP	1	66.80	64.59
4202723358	SMP	1	66.47	64.24
4202743381	SMP	1	66.56	64.39
4202763348	SMP	1	65.97	65.82
4202783357	SMP	1	66.55	63.63
4202803320	SMP	1	67.30	64.24
4202823340	SMP	1	64.61	64.49
4202843299	SMP	1	66.66	64.29
4202863322	SMP	1	65.96	64.32
4202883280	SMP	1	67.28	64.29
4202903303	SMP	1	66.67	64.33
4202923262	SMP	1	66.83	65.38
4202943283	SMP	1	66.10	65.19
4202963242	SMP	1	65.65	62.60
4202983264	SMP	1	66.78	64.17
4203003219	SMP	1	65.61	64.32
4203023243	SMP	1	66.59	63.20
4203043200	SMP	1	67.62	65.36
4203063221	SMP	1	66.71	65.11
4203083183	SMP	1	66.40	64.48
4203103211	SMP	1	66.75	63.51
4203123163	SMP	1	65.97	64.65
4203143184	SMP	1	67.12	63.73
4203163143	SMP	1	65.70	64.37
4203183162	SMP	1	66.43	63.34
4203203124	SMP	1	66.97	64.50
4203223147	SMP	1	66.82	64.50
4203243101	SMP	1	66.85	64.50
4203263121	SMP	1	65.97	64.41
4203283086	SMP	1	66.57	64.54
4203303108	SMP	1	67.21	64.59
4203323060	SMP	1	66.78	64.72
4203343087	SMP	1	67.48	64.38
4203363044	SMP	1	68.02	64.25
4203383065	SMP	1	67.33	63.62
4203403026	SMP	1	67.47	63.57
4203423048	SMP	1	66.21	65.31
4203443008	SMP	1	67.11	63.60
4203463027	SMP	1	67.32	65.47
4203482984	SMP	1	67.07	65.21
4203503003	SMP	1	66.67	63.70
4203522966	SMP	1	66.51	65.34
4203542989	SMP	1	65.53	63.44
4203562946	SMP	1	66.39	65.08
4203582967	SMP	1	66.73	64.34
4203602928	SMP	1	66.69	63.61
4203622951	SMP	1	67.51	64.29
4203642908	SMP	1	66.31	64.26
4203662928	SMP	1	67.05	65.22
4203682886	SMP	1	66.08	64.38
4203702910	SMP	1	65.52	65.24
4203722869	SMP	1	65.75	63.51
4203742889	SMP	1	66.03	64.54
4203762845	SMP	1	65.62	63.42
4203782877	SMP	1	65.86	64.36
4203802828	SMP	1	66.48	64.27
4203822851	SMP	1	64.57	64.33
4203842810	SMP	1	66.48	64.58
4203862832	SMP	1	67.40	63.51
4203882791	SMP	1	64.71	65.30
4203902810	SMP	1	66.59	64.36
4203922768	SMP	1	66.90	63.56
4203942791	SMP	1	66.08	64.48
4203962750	SMP	1	65.84	62.49
4203982768	SMP	1	0.00	0.00
4204002726	SMP	1	0.00	0.00
4204022752	SMP	1	0.00	0.00
4204042709	SMP	1	0.00	0.00
4204062732	SMP	1	0.00	0.00
4204082697	SMP	1	0.00	0.00
4204102708	SMP	1	0.00	0.00
4204122672	SMP	1	62.62	53.66
4204142693	SMP	1	63.37	61.14
4204162654	SMP	1	64.66	62.18
4204182674	SMP	1	65.78	63.25
4204202632	SMP	1	64.76	63.52
4204222654	SMP	1	66.54	64.39
4204242615	SMP	1	65.65	64.41
4204262632	SMP	1	66.04	64.55
4204282590	SMP	1	65.46	64.24
4204302615	SMP	1	66.68	63.61
4204322570	SMP	1	65.89	64.53
4204342591	SMP	1	65.89	65.38
4204362553	SMP	1	66.99	65.43
4204382576	SMP	1	66.20	65.29
4204402534	SMP	1	66.61	65.09
4204422557	SMP	1	67.54	66.08
4204442514	SMP	1	66.61	64.44
4204462534	SMP	1	67.04	65.43
4204482497	SMP	1	66.33	64.54
4204502519	SMP	1	66.22	64.16
4204522474	SMP	1	66.53	64.42
4204542494	SMP	1	66.59	63.58
4204562458	SMP	1	66.67	65.46
4204582475	SMP	1	65.50	65.49
4204602437	SMP	1	67.29	64.42
4204622458	SMP	1	66.49	65.30
4204642419	SMP	1	66.14	63.79
4204662438	SMP	1	66.33	64.52
4204682395	SMP	1	66.67	64.60
4204702421	SMP	1	65.62	64.46
4204722377	SMP	1	65.75	64.39
4204742398	SMP	1	65.91	65.22
4204762365	SMP	1	65.73	64.45
4204782380	SMP	1	66.80	64.32
4204802339	SMP	1	66.51	64.41
4204822359	SMP	1	65.84	64.20
4204842318	SMP	1	65.77	64.52
4204862342	SMP	1	65.94	64.51
4204882300	SMP	1	66.11	64.48
4204902319	SMP	1	64.97	64.28
4204922278	SMP	1	65.65	63.52
4204942300	SMP	1	66.35	64.29
4204962258	SMP	1	63.77	64.20
4204982280	SMP	1	65.73	63.61
4205002235	SMP	1	65.86	64.23
4205022262	SMP	1	65.81	64.11
4205042223	SMP	1	66.76	64.39
4205062242	SMP	1	65.67	64.56
4205082201	SMP	1	65.67	64.52
4205102228	SMP	1	67.06	64.38
4205122182	SMP	1	64.63	65.03
4205142201	SMP	1	66.18	63.59
4205162163	SMP	1	64.77	63.45
4205182182	SMP	1	65.56	63.73
4205202143	SMP	1	66.42	63.37
4205222165	SMP	1	65.86	63.45
4205242121	SMP	1	66.36	64.28
4205262144	SMP	1	65.85	64.45
4205282105	SMP	1	65.68	62.67
4205302125	SMP	1	65.89	64.32
4205322083	SMP	1	66.04	64.27
4205342107	SMP	1	64.90	64.32
4205362065	SMP	1	67.47	63.40
4205382086	SMP	1	66.59	64.21
4205402044	SMP	1	65.64	65.25
4205422068	SMP	1	66.58	65.28
4205442024	SMP	1	66.74	64.29
4205462044	SMP	1	65.66	65.37
4205482003	SMP	1	66.51	64.74
4205502029	SMP	1	65.89	63.79
4205521985	SMP	1	65.68	63.75
4205542004	SMP	1	66.30	65.12
4205561965	SMP	1	66.65	63.51
4205581985	SMP	1	66.78	65.40
4205601947	SMP	1	65.70	63.49
4205621967	SMP	1	65.43	64.39
4205641928	SMP	1	66.85	64.26
4205661949	SMP	1	65.78	63.49
4205681904	SMP	1	65.63	64.54
4205701928	SMP	1	65.88	65.19
4205721885	SMP	1	65.76	65.30
4205741908	SMP	1	66.62	64.53
4205761864	SMP	1	65.61	64.32
4205781897	SMP	1	66.21	65.37
4205801847	SMP	1	66.80	65.21
4205821869	SMP	1	65.74	64.43
4205841828	SMP	1	65.66	64.25
4205861850	SMP	1	65.34	64.39
4205881809	SMP	1	65.50	64.23
4205901829	SMP	1	65.44	65.33
4205921790	SMP	1	66.79	65.25
4205941811	SMP	1	65.54	65.34
4205961767	SMP	1	67.16	65.12
4205981790	SMP	1	66.26	65.37
4206001749	SMP	1	66.93	65.22
4206021771	SMP	1	65.50	64.50
4206041726	SMP	1	66.84	64.50
4206061750	SMP	1	67.61	65.20
4206081724	SMP	1	65.67	64.62
4206101730	SMP	1	67.52	63.53
4206121692	SMP	1	66.45	64.27
4206141710	SMP	1	67.10	66.13
4206161672	SMP	1	66.65	64.36
4206181691	SMP	1	65.49	64.50
4206201649	SMP	1	65.60	64.32
4206221673	SMP	1	66.56	64.40
4206241631	SMP	1	66.84	65.32
4206261653	SMP	1	66.78	65.48
4206281608	SMP	1	66.60	64.37
4206301636	SMP	1	65.21	64.53
4206321593	SMP	1	66.48	64.30
4206341613	SMP	1	65.56	64.63
4206361571	SMP	1	65.83	64.27
4206381594	SMP	1	66.70	64.26
4206401553	SMP	1	67.00	65.36
4206421577	SMP	1	66.56	64.43
4206441533	SMP	1	65.86	64.63
4206461554	SMP	1	67.38	65.31
4206481512	SMP	1	66.47	65.35
4206501534	SMP	1	66.66	65.35
4206521494	SMP	1	66.47	65.38
4206541516	SMP	1	65.66	65.47
4206561474	SMP	1	65.78	64.51
4206581497	SMP	1	66.60	64.50
4206601454	SMP	1	66.51	66.22
4206621478	SMP	1	66.82	64.65
4206641434	SMP	1	67.59	64.70
4206661457	SMP	1	67.76	63.44
4206681415	SMP	1	65.82	64.60
4206701440	SMP	1	67.47	63.72
4206721397	SMP	1	65.44	63.42
4206741417	SMP	1	66.49	65.38
4206761383	SMP	1	67.39	63.57
4206781395	SMP	1	67.83	63.47
4206801358	SMP	1	67.06	64.24
4206821378	SMP	1	65.84	64.54
4206841337	SMP	1	66.51	64.72
4206861359	SMP	1	66.34	65.21
4206881316	SMP	1	67.37	64.53
4206901339	SMP	1	66.66	64.14
4206921298	SMP	1	67.73	64.56
4206941319	SMP	1	67.27	65.44
4206961275	SMP	1	67.51	65.07
4206981300	SMP	1	66.58	65.14
4207001259	SMP	1	66.61	64.54
4207021281	SMP	1	66.98	64.51
4207041238	SMP	1	66.66	64.47
4207061260	SMP	1	67.57	64.29
4207081219	SMP	1	67.33	63.83
4207101247	SMP	1	66.54	64.35
4207121198	SMP	1	67.16	64.55
4207141223	SMP	1	66.87	65.29
4207161182	SMP	1	66.40	64.45
4207181201	SMP	1	66.46	64.69
4207201161	SMP	1	66.58	64.39
4207221184	SMP	1	67.58	64.55
4207241141	SMP	1	66.80	64.27
4207261160	SMP	1	67.36	64.32
4207281115	SMP	1	66.68	64.41
4207301142	SMP	1	66.84	65.46
4207321101	SMP	1	67.56	64.55
4207341123	SMP	1	67.42	64.30
4207361082	SMP	1	67.29	64.11
4207381106	SMP	1	67.57	64.21
4207401062	SMP	1	66.58	65.30
4207421085	SMP	1	66.65	65.60
4207441043	SMP	1	67.94	64.53
4207461063	SMP	1	66.47	65.35
4207481025	SMP	1	67.72	65.38
4207501046	SMP	1	66.37	64.45
4207521003	SMP	1	67.53	65.29
4207541025	SMP	1	66.93	65.36
4207560982	SMP	1	66.77	64.71
